source_file,athlete,technique,condition,trial,repetition,quality_flag,quality_notes,nan_endpoint_pct
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,1,OK,ok,0.0
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,E01,T01,1,OK,ok,0.0
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,E01,T01,2,OK,ok,0.0
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,E01,T01,3,OK,ok,0.0
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,1,OK,ok,0.0
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,2,OK,ok,0.0
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,3,OK,ok,0.0
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,1,OK,ok,0.0
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,2,OK,ok,0.0
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,3,OK,ok,0.0
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,1,OK,ok,0.0
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,2,OK,ok,0.0
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,3,OK,ok,0.0
