source_file,athlete_id,technique,technique_name,condition,condition_name,trial,role,execution_type,repetition,signal_used,signal_snr,sampling_rate_hz,position_unit,velocity_unit,acceleration_unit,angle_unit,force_unit,moment_unit,power_unit,segmentation_method,segmentation_version,event_id,start_frame,peak_frame,end_frame,start_time_s,peak_time_s,end_time_s,duration_s,time_to_peak_s,vmax_m_s,vmean_m_s,amax_m_s2,amean_m_s2,displacement_m,path_length_m,rom_m,com_vmax_m_s,com_rom_m,rom_RShoulderAngles,avg_angvel_RShoulderAngles,rom_RElbowAngles,avg_angvel_RElbowAngles,rom_RHipAngles,avg_angvel_RHipAngles,rom_RKneeAngles,avg_angvel_RKneeAngles,coord_delay_proximal_distal_s,rom_RAnkleAngles,avg_angvel_RAnkleAngles,rom_LHipAngles,avg_angvel_LHipAngles,rom_LKneeAngles,avg_angvel_LKneeAngles,rom_LAnkleAngles,avg_angvel_LAnkleAngles
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,Gyaku-Zuki,E01,air,T01,atacante,technique,1,RFIN,14.2,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,6,1155,1185,1212,4.62,4.74,4.848,0.228,0.12,8.103,3.956,170.7,59.82,0.787,0.898,0.788,1.402,0.196,656.6321887969971,1393.8751218206114,142.52764892578682,334.2573984165061,35.172884941101074,51.5473909332341,56.93143558502197,81.058655518421,-0.224,,,,,,,,
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,Mae-Geri,E01,air,T01,atacante,technique,1,RTOE,250.3,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,0,271,362,501,1.084,1.448,2.004,0.92,0.364,6.483,3.925,126.93,21.14,0.235,3.61,1.715,1.107,0.272,,,,,118.95241165161133,96.21261151169054,150.56564140319824,231.53093223793144,0.512,44.76926231384277,36.9866896081767,,,,,,
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,Mae-Geri,E01,air,T01,atacante,technique,2,RTOE,250.3,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,1,780,862,1046,3.12,3.448,4.184,1.064,0.328,7.149,3.577,134.7,16.55,0.075,3.807,1.719,1.117,0.278,,,,,105.85547637939453,94.08399241157325,154.29060745239258,212.09321911859954,-0.064,48.664588928222656,44.93378255487981,,,,,,
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,Mae-Geri,E01,air,T01,atacante,technique,3,RTOE,250.3,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,2,1248,1334,1491,4.992,5.336,5.964,0.972,0.344,7.024,3.797,137.43,18.67,0.233,3.692,1.716,0.874,0.166,,,,,115.60749435424805,91.70356359804587,156.31956481933594,244.1736499960936,0.0,48.27896308898926,47.314434859394,,,,,,
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,Mawashi-Geri gedan,E01,air,T01,atacante,technique,1,RTOE,140.5,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,1,273,334,503,1.092,1.336,2.012,0.92,0.244,10.39,4.046,193.57,25.93,0.242,3.721,1.371,0.698,0.144,,,,,91.95783615112305,91.44524221028571,154.2402057647705,216.07071565563447,-0.916,61.557010650634766,35.17458802298117,,,,,,
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,Mawashi-Geri gedan,E01,air,T01,atacante,technique,2,RTOE,140.5,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,3,707,772,933,2.828,3.088,3.732,0.904,0.26,9.415,3.903,181.85,23.96,0.067,3.528,1.327,0.848,0.105,,,,,86.46669387817383,69.48480733957324,140.7641258239746,213.7919000913369,-0.28,63.69257831573486,34.55844315651739,,,,,,
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,Mawashi-Geri gedan,E01,air,T01,atacante,technique,3,RTOE,140.5,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,5,1129,1196,1375,4.516,4.784,5.5,0.984,0.268,9.139,3.542,155.75,18.04,0.395,3.484,1.391,0.753,0.181,,,,,81.92161750793457,64.49708599064745,132.2725887298584,179.6904130885695,-0.98,60.92856025695801,32.84584429033137,,,,,,
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,Mawashi-Geri jodan,E01,air,T01,atacante,technique,1,LTOE,168.8,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,0,247,324,604,0.988,1.296,2.416,1.428,0.308,9.324,3.492,174.48,21.65,0.15,4.987,1.961,1.138,0.356,,,,,,,,,0.0,,,139.47495651245117,101.94164493676159,152.78025436401367,123.72811571847791,66.83770942687988,50.94899394727822
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,Mawashi-Geri jodan,E01,air,T01,atacante,technique,2,LTOE,168.8,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,3,773,821,948,3.092,3.284,3.792,0.7,0.192,7.192,4.602,116.6,23.48,1.574,3.22,1.91,1.192,0.296,,,,,,,,,0.696,,,138.59564208984375,122.72188003475952,134.08488273620605,178.17777799330435,40.78659725189209,31.30044839489353
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,Mawashi-Geri jodan,E01,air,T01,atacante,technique,3,LTOE,168.8,250.0,mm,mm/s,mm/s2,deg,N,Nmm,W,activity_bands,1.8.0,6,1309,1389,1577,5.236,5.556,6.308,1.072,0.32,9.233,4.375,139.14,20.99,0.536,4.689,2.016,1.223,0.307,,,,,,,,,0.38,,,144.97301483154297,109.82732911197314,140.40688705444336,145.78080023417905,77.42345428466797,47.429903276116136
