source_file,athlete_id,technique,condition,trial,event_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,duration,signal_used,peak_ratio,status,rejection_reason
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,0,107,121,150,0.428,0.484,0.6,0.172,RFIN,0.23,rejected,activity_too_low
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,1,411,434,532,1.644,1.736,2.128,0.484,RFIN,0.85,rejected,duration_too_short
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,2,472,496,532,1.888,1.984,2.128,0.24,RFIN,0.36,rejected,secondary_peak
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,3,779,802,829,3.116,3.208,3.316,0.2,RFIN,0.94,rejected,duration_too_short
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,4,825,826,829,3.3,3.304,3.316,0.016,RFIN,0.22,rejected,secondary_peak
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,5,832,848,868,3.328,3.392,3.472,0.144,RFIN,0.31,rejected,duration_too_short
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,6,1155,1185,1212,4.62,4.74,4.848,0.228,RFIN,1.0,accepted,
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,7,1203,1207,1212,4.812,4.828,4.848,0.036,RFIN,0.26,rejected,secondary_peak
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,8,1220,1236,1260,4.88,4.944,5.04,0.16,RFIN,0.3,review,low_activity_uncertain
2017-02-20-B0377-S01-E01-T01.c3d,B0377,S01,E01,T01,9,1499,1527,1552,5.996,6.108,6.208,0.212,RFIN,0.32,review,low_activity_uncertain
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,E01,T01,0,271,362,501,1.084,1.448,2.004,0.92,RTOE,0.91,accepted,
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,E01,T01,1,780,862,1046,3.12,3.448,4.184,1.064,RTOE,1.0,accepted,
2017-02-20-B0377-S02-E01-T01.c3d,B0377,S02,E01,T01,2,1248,1334,1491,4.992,5.336,5.964,0.972,RTOE,0.98,accepted,
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,0,125,142,156,0.5,0.568,0.624,0.124,RTOE,0.23,rejected,duration_too_short
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,1,273,334,503,1.092,1.336,2.012,0.92,RTOE,1.0,accepted,
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,2,367,405,503,1.468,1.62,2.012,0.544,RTOE,0.4,rejected,secondary_peak
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,3,707,772,933,2.828,3.088,3.732,0.904,RTOE,0.91,accepted,
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,4,795,828,933,3.18,3.312,3.732,0.552,RTOE,0.41,rejected,secondary_peak
2017-02-20-B0377-S03-E01-T01.c3d,B0377,S03,E01,T01,5,1129,1196,1375,4.516,4.784,5.5,0.984,RTOE,0.88,accepted,
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,0,247,324,604,0.988,1.296,2.416,1.428,LTOE,1.0,accepted,
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,1,574,594,626,2.296,2.376,2.504,0.208,LTOE,0.2,rejected,secondary_peak
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,2,622,624,626,2.488,2.496,2.504,0.016,LTOE,0.16,rejected,secondary_peak
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,3,773,821,948,3.092,3.284,3.792,0.7,LTOE,0.77,accepted,
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,4,889,924,948,3.556,3.696,3.792,0.236,LTOE,0.4,rejected,secondary_peak
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,5,960,1070,1099,3.84,4.28,4.396,0.556,LTOE,0.45,review,low_activity_uncertain
2017-02-20-B0377-S04-E01-T01.c3d,B0377,S04,E01,T01,6,1309,1389,1577,5.236,5.556,6.308,1.072,LTOE,0.99,accepted,
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,0,443,508,698,1.772,2.032,2.792,1.02,RTOE,1.0,accepted,
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,1,660,681,698,2.64,2.724,2.792,0.152,RTOE,0.42,rejected,secondary_peak
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,2,851,878,895,3.404,3.512,3.58,0.176,RTOE,0.25,rejected,activity_too_low
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,3,1132,1195,1316,4.528,4.78,5.264,0.736,RTOE,0.96,accepted,
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,4,1395,1416,1432,5.58,5.664,5.728,0.148,RTOE,0.48,rejected,duration_too_short
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,5,1587,1599,1614,6.348,6.396,6.456,0.108,RTOE,0.2,rejected,duration_too_short
2017-02-20-B0377-S05-E01-T01.c3d,B0377,S05,E01,T01,6,1754,1766,1774,7.016,7.064,7.096,0.08,RTOE,0.31,rejected,duration_too_short
