athlete_id,filename,technique,condition,trial,source_path,n_points,n_frames,rate_hz,units_pos,units_angle,units_force,units_moment,units_power,analog_used,n_anatomical,n_derived,n_tarcza,n_prefixed,subjects,prefixes
B0367,2017-01-31-B0367-S01-E01-T01.c3d,S01,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E01-T01.c3d,218,1815,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S01-E02-T01.c3d,S01,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E02-T01.c3d,224,1821,200.0,mm,deg,N,Nmm,W,0,0,101,6,224,"['Tarcza', 'B0367']","['Tarcza', 'B0367']"
B0367,2017-01-31-B0367-S01-E02-T02.c3d,S01,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E02-T02.c3d,224,1629,200.0,mm,deg,N,Nmm,W,0,0,101,6,224,"['Tarcza', 'B0367']","['Tarcza', 'B0367']"
B0367,2017-01-31-B0367-S01-E04-T01.c3d,S01,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E04-T01.c3d,409,2464,200.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0368', 'B0367']","['B0368', 'B0367']"
B0367,2017-01-31-B0367-S01-E04-T02.c3d,S01,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E04-T02.c3d,409,1850,200.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0368', 'B0367']","['B0368', 'B0367']"
B0367,2017-01-31-B0367-S02-E01-T01.c3d,S02,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E01-T01.c3d,218,1751,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S02-E01-T02.c3d,S02,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E01-T02.c3d,218,1918,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S02-E02-T01.c3d,S02,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E02-T01.c3d,224,1597,200.0,mm,deg,N,Nmm,W,0,0,101,6,224,"['Tarcza', 'B0367']","['Tarcza', 'B0367']"
B0367,2017-01-31-B0367-S02-E02-T02.c3d,S02,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E02-T02.c3d,224,1751,200.0,mm,deg,N,Nmm,W,0,0,101,6,224,"['Tarcza', 'B0367']","['Tarcza', 'B0367']"
B0367,2017-01-31-B0367-S02-E04-T01.c3d,S02,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E04-T01.c3d,409,1639,200.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0368', 'B0367']","['B0368', 'B0367']"
B0367,2017-01-31-B0367-S02-E04-T02.c3d,S02,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E04-T02.c3d,409,1560,200.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0368', 'B0367']","['B0368', 'B0367']"
B0367,2017-01-31-B0367-S03-E01-T01.c3d,S03,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E01-T01.c3d,218,1875,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
B0367,2017-01-31-B0367-S03-E01-T02.c3d,S03,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E01-T02.c3d,218,1775,200.0,mm,deg,N,Nmm,W,0,117,101,0,0,['B0367'],['B0367']
