technique,pair,left_avail,right_avail,l_vmax,r_vmax,l_snr,r_snr,ratio
S01,toe,True,True,3196.782599741979,3049.6705503215167,178.17393978043506,266.41984887435365,0.9539812155404969
S01,ankle,True,True,3258.4974577034195,2683.2776948185046,243.46405090596124,109.36220064958891,0.8234708572425428
S01,heel,True,True,3251.3149496561336,3249.3302511737793,226.58105679684118,153.614061193929,0.9993895705232851
S01,knee,True,True,1901.5998650786,2028.0353589444533,31.369276694254438,24.913821760953155,1.0664890107465173
S01,thigh,True,True,1603.4729678772992,2039.4125252136096,17.55069290981837,25.944817513060265,1.2718720964233914
S01,hipjc,False,False,,,,,
S02,toe,True,True,2714.077099727778,7279.421085035835,125.87648539310214,250.30976024326984,2.6820981193803517
S02,ankle,True,True,2682.0120171907297,6394.547357160089,100.64255751135113,294.66357301469617,2.384235162322526
S02,heel,True,True,2767.0356179088685,6608.895348973984,160.6035000826255,266.4835169272515,2.3884388427085503
S02,knee,True,True,1201.380764261098,4312.670510782021,3.237061574377016,58.4097145119154,3.589761580235483
S02,thigh,True,True,1208.363838534447,3356.3793529187865,5.890117558871699,49.86038436000524,2.7776231345906237
S02,hipjc,False,False,,,,,
S03,toe,True,True,1634.1763170245129,10481.372379974728,50.13397088688809,140.4601867006854,6.413856491968175
S03,ankle,True,True,1795.5690858693274,7651.5811350502945,36.56527728003376,64.46283220968425,4.261368273302338
S03,heel,True,True,2262.1006955735347,7746.631750666494,42.92422766695382,70.77652729363294,3.424530024601306
S03,knee,True,True,1034.3701388150616,4303.963197624749,6.584304059199773,15.820926115535165,4.160950742981674
S03,thigh,True,True,1372.6984595983001,3572.763362481388,7.960556570667456,12.902595530984012,2.6027299276814966
S03,hipjc,False,False,,,,,
S04,toe,True,True,9512.809517960071,4349.132432332437,168.75032858028916,28.738705713887434,0.4571869566105438
S04,ankle,True,True,7501.0595300326995,4138.926618487076,54.99607400952192,13.459372814574131,0.5517789322848476
S04,heel,True,True,7755.4742967988095,4618.57760653713,47.549182972202324,18.508635354239576,0.5955248421676702
S04,knee,True,True,5318.816152544627,2347.668155043816,23.347227420168128,3.0373094105417944,0.4413892279243763
S04,thigh,True,True,3580.5987796273193,2182.480081544021,11.936492175805883,3.347766191596994,0.6095293597152405
S04,hipjc,False,False,,,,,
S05,toe,True,True,4767.602435710262,9415.351901016427,186.9505407808156,302.0225760442566,1.9748609553707013
S05,ankle,True,True,4242.784397224226,8316.467448196432,163.2168450294223,230.1205471851653,1.9601437804936275
S05,heel,True,True,4501.01312151972,8684.353494662722,259.6060635322029,249.43442747116455,1.9294219457259905
S05,knee,True,True,1983.3748529559286,4477.312691473243,26.009012871059863,28.988598506759367,2.2574213264820866
S05,thigh,True,True,1881.8150005802631,3803.6235693324757,19.457714944749377,31.70607691464973,2.021252656694519
S05,hipjc,False,False,,,,,
