attribute,name,B0367,B0377,compatible,notes
marker,C7,anatomical,anatomical,yes,
marker,CLAV,anatomical,anatomical,yes,
marker,CentreOfMass,derived,derived,yes,
marker,CentreOfMassFloor,derived,derived,yes,
marker,HEDA,cluster,cluster,yes,
marker,HEDL,cluster,cluster,yes,
marker,HEDO,cluster,cluster,yes,
marker,HEDP,cluster,cluster,yes,
marker,HeadCOM,derived,ausente,no,
marker,LAJC,derived,ausente,no,
marker,LANK,anatomical,anatomical,yes,
marker,LASI,anatomical,anatomical,yes,
marker,LAbsAnkleAngle,derived,derived,yes,
marker,LAnkleAngles,derived,derived,yes,
marker,LAnkleForce,derived,derived,yes,
marker,LAnkleMoment,derived,derived,yes,
marker,LAnklePower,derived,derived,yes,
marker,LBHD,anatomical,anatomical,yes,
marker,LCLA,cluster,cluster,yes,
marker,LCLL,cluster,cluster,yes,
marker,LCLO,cluster,cluster,yes,
marker,LCLP,cluster,cluster,yes,
marker,LEJC,derived,ausente,no,
marker,LELB,anatomical,anatomical,yes,
marker,LElbowAngles,derived,derived,yes,
marker,LElbowForce,derived,derived,yes,
marker,LElbowMoment,derived,derived,yes,
marker,LElbowPower,derived,derived,yes,
marker,LFEA,cluster,cluster,yes,
marker,LFEL,cluster,cluster,yes,
marker,LFEO,cluster,cluster,yes,
marker,LFEP,cluster,cluster,yes,
marker,LFHD,anatomical,anatomical,yes,
marker,LFIN,anatomical,anatomical,yes,
marker,LFOA,cluster,cluster,yes,
marker,LFOL,cluster,cluster,yes,
marker,LFOO,cluster,cluster,yes,
marker,LFOP,cluster,cluster,yes,
marker,LFRM,anatomical,anatomical,yes,
marker,LFootProgressAngles,derived,derived,yes,
marker,LHEE,anatomical,anatomical,yes,
marker,LHJC,derived,ausente,no,
marker,LHNA,cluster,cluster,yes,
marker,LHNL,cluster,cluster,yes,
marker,LHNO,cluster,cluster,yes,
marker,LHNP,cluster,cluster,yes,
marker,LHUA,cluster,cluster,yes,
marker,LHUL,cluster,cluster,yes,
marker,LHUO,cluster,cluster,yes,
marker,LHUP,cluster,cluster,yes,
marker,LHeadAngles,derived,derived,yes,
marker,LHipAngles,derived,derived,yes,
marker,LHipForce,derived,derived,yes,
marker,LHipMoment,derived,derived,yes,
marker,LHipPower,derived,derived,yes,
marker,LKJC,derived,ausente,no,
marker,LKNE,anatomical,anatomical,yes,
marker,LKneeAngles,derived,derived,yes,
marker,LKneeForce,derived,derived,yes,
marker,LKneeMoment,derived,derived,yes,
marker,LKneePower,derived,derived,yes,
marker,LNeckAngles,derived,derived,yes,
marker,LNeckForce,derived,derived,yes,
marker,LNeckMoment,derived,derived,yes,
marker,LNeckPower,derived,derived,yes,
marker,LPSI,anatomical,anatomical,yes,
marker,LPelvisAngles,derived,derived,yes,
marker,LRAA,cluster,cluster,yes,
marker,LRAL,cluster,cluster,yes,
marker,LRAO,cluster,cluster,yes,
marker,LRAP,cluster,cluster,yes,
marker,LSHO,anatomical,anatomical,yes,
marker,LSJC,derived,ausente,no,
marker,LShoulderAngles,derived,derived,yes,
marker,LShoulderForce,derived,derived,yes,
marker,LShoulderMoment,derived,derived,yes,
marker,LShoulderPower,derived,derived,yes,
marker,LSpineAngles,derived,derived,yes,
marker,LTHI,anatomical,anatomical,yes,
marker,LTIA,cluster,cluster,yes,
marker,LTIB,anatomical,anatomical,yes,
marker,LTIL,cluster,cluster,yes,
marker,LTIO,cluster,cluster,yes,
marker,LTIP,cluster,cluster,yes,
marker,LTOA,cluster,cluster,yes,
