file_name,source_path,athlete_id,technique,condition,trial,sampling_rate_hz,units_position,units_angle,units_force,units_moment,units_power,number_of_points,number_of_frames,duration_s,number_of_derived_variables,subject_ids,subject_prefixes,tarcza_marker_count,analog_used,signal_avail_RFIN,signal_avail_RTOE,signal_avail_LTOE,signal_avail_RANK,signal_avail_LANK,signal_avail_RHEE,signal_avail_LHEE
2017-02-20-B0371-S01-E01-T01.c3d,atletas\B0371\2017-02-20-B0371-S01\2017-02-20-B0371-S01-E01-T01.c3d,B0371,S01,E01,T01,250.0,mm,deg,N,Nmm,W,191,1660,6.64,74,B0371,B0371,0,0,True,True,True,True,True,True,True
2017-02-20-B0371-S01-E01-T02.c3d,atletas\B0371\2017-02-20-B0371-S01\2017-02-20-B0371-S01-E01-T02.c3d,B0371,S01,E01,T02,250.0,mm,deg,N,Nmm,W,191,1504,6.016,74,B0371,B0371,0,0,True,True,True,True,True,True,True
2017-02-20-B0371-S01-E02-T01.c3d,atletas\B0371\2017-02-20-B0371-S01\2017-02-20-B0371-S01-E02-T01.c3d,B0371,S01,E02,T01,250.0,mm,deg,N,Nmm,W,195,1622,6.488,74,Tarcza|B0371,Tarcza|B0371,4,0,True,True,True,True,True,True,True
2017-02-20-B0371-S01-E02-T02.c3d,atletas\B0371\2017-02-20-B0371-S01\2017-02-20-B0371-S01-E02-T02.c3d,B0371,S01,E02,T02,250.0,mm,deg,N,Nmm,W,195,1624,6.496,74,Tarcza|B0371,Tarcza|B0371,4,0,True,True,True,True,True,True,True
2017-02-20-B0371-S01-E03-T01.c3d,atletas\B0371\2017-02-20-B0371-S01\2017-02-20-B0371-S01-E03-T01.c3d,B0371,S01,E03,T01,250.0,mm,deg,N,Nmm,W,382,1909,7.636,25,B0371|B0372,B0371|B0372,0,0,True,True,True,True,True,True,True
2017-02-20-B0371-S01-E03-T02.c3d,atletas\B0371\2017-02-20-B0371-S01\2017-02-20-B0371-S01-E03-T02.c3d,B0371,S01,E03,T02,250.0,mm,deg,N,Nmm,W,382,1619,6.476,25,B0371|B0372,B0371|B0372,0,0,True,True,True,True,True,True,True
2017-02-20-B0371-S02-E01-T01.c3d,atletas\B0371\2017-02-20-B0371-S02\2017-02-20-B0371-S02-E01-T01.c3d,B0371,S02,E01,T01,250.0,mm,deg,N,Nmm,W,191,1923,7.692,74,B0371,B0371,0,0,True,True,True,True,True,True,True
2017-02-20-B0371-S02-E01-T02.c3d,atletas\B0371\2017-02-20-B0371-S02\2017-02-20-B0371-S02-E01-T02.c3d,B0371,S02,E01,T02,250.0,mm,deg,N,Nmm,W,191,2129,8.516,74,B0371,B0371,0,0,True,True,True,True,True,True,True
2017-02-20-B0371-S02-E02-T01.c3d,atletas\B0371\2017-02-20-B0371-S02\2017-02-20-B0371-S02-E02-T01.c3d,B0371,S02,E02,T01,250.0,mm,deg,N,Nmm,W,195,1651,6.604,74,Tarcza|B0371,Tarcza|B0371,4,0,True,True,True,True,True,True,True
2017-02-20-B0371-S02-E02-T02.c3d,atletas\B0371\2017-02-20-B0371-S02\2017-02-20-B0371-S02-E02-T02.c3d,B0371,S02,E02,T02,250.0,mm,deg,N,Nmm,W,195,1824,7.296,74,Tarcza|B0371,Tarcza|B0371,4,0,True,True,True,True,True,True,True
