athlete,n_files,sample_rate_hz,units_pos,units_angle,n_points_min,n_points_max,note
B0367,26,[200.0],['mm'],['deg'],218,224,muestra de 2 archivos
B0368,21,[200.0],['mm'],['deg'],218,218,muestra de 2 archivos
B0369,28,[200.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0370,16,[200.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0371,30,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0372,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0373,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0374,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0375,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0376,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0377,39,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0378,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0379,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0380,41,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0381,51,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0382,30,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0383,30,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0384,42,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0385,42,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0386,41,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0387,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0388,50,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0389,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0391,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0392,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0393,44,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0394,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0395,41,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0396,41,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0398,39,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0399,39,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0400,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0401,39,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0402,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0403,41,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0404,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
B0405,40,[250.0],['mm'],['deg'],191,191,muestra de 2 archivos
