athlete_id,n_files,techniques,conditions,trials,sampling_rates,n_points_min,n_points_max,n_derived_min,n_derived_max,roles,structural_status
B0367,26,"S01,S02,S03,S04,S05","E01,E02,E04","T01,T02",200.0,218,409,25,101,,ok
B0368,21,"S01,S02,S03,S04,S05","E01,E02","T01,T02,T03",200.0,197,224,74,101,,ok
B0369,28,"S01,S02,S03,S04,S05","E01,E02,E04","T01,T02",200.0,191,382,25,74,,ok
B0370,16,"S01,S02,S03,S04","E01,E02","T01,T02",200.0,191,197,74,74,,ok
B0371,30,"S01,S02,S03,S04,S05","E01,E02,E03","T01,T02",250.0,191,382,25,74,,ok
B0372,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0373,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0374,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0375,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0376,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0377,39,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,119,382,25,74,,ok
B0378,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0379,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0380,41,"S01,S02,S03,S04,S05,S06","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0381,51,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03,T04,T05",250.0,191,382,25,74,,ok
B0382,30,"S01,S02,S03,S04,S05","E01,E02,E04","T01,T02",250.0,191,382,25,74,,ok
B0383,30,"S01,S02,S03,S04,S05","E01,E02,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0384,42,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0385,42,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0386,41,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0387,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0388,50,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03,T04",250.0,191,382,25,74,,ok
B0389,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0391,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03,T04",250.0,191,382,25,74,,ok
B0392,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03,T04",250.0,191,382,25,74,,ok
B0393,44,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03,T04,T05",250.0,191,382,25,74,,ok
B0394,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0395,41,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0396,41,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0398,39,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0399,39,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0400,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,148,382,25,74,,ok
B0401,39,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0402,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0403,41,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02,T03",250.0,191,382,25,74,,ok
B0404,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
B0405,40,"S01,S02,S03,S04,S05","E01,E02,E03,E04","T01,T02",250.0,191,382,25,74,,ok
