athlete,configuration_exists,S01,S02,S03,S04,S05,configuration_status
B0367,True,RFIN,RTOE,RTOE,RTOE,RTOE,validated
B0368,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0369,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0370,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0371,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0372,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0373,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0374,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0375,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0376,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0377,True,RFIN,RTOE,RTOE,LTOE,RTOE,provisional
B0378,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0379,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0380,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
B0381,False,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED,NOT_CONFIGURED
