athlete_id,S01-E01-T01,S01-E01-T02,S01-E01-T03,S01-E02-T01,S01-E02-T02,S01-E02-T03,S01-E02-T04,S01-E02-T05,S01-E03-T01,S01-E03-T02,S01-E03-T03,S01-E03-T04,S01-E04-T01,S01-E04-T02,S01-E04-T03,S01-E04-T04,S02-E01-T01,S02-E01-T02,S02-E02-T01,S02-E02-T02,S02-E03-T01,S02-E03-T02,S02-E03-T03,S02-E03-T04,S02-E04-T01,S02-E04-T02,S02-E04-T03,S02-E04-T04,S03-E01-T01,S03-E01-T02,S03-E02-T01,S03-E02-T02,S03-E02-T03,S03-E03-T01,S03-E03-T02,S03-E03-T03,S03-E03-T04,S03-E04-T01,S03-E04-T02,S03-E04-T03,S03-E04-T04,S04-E01-T01,S04-E01-T02,S04-E02-T01,S04-E02-T02,S04-E02-T03,S04-E03-T01,S04-E03-T02,S04-E03-T03,S04-E03-T04,S04-E04-T01,S04-E04-T02,S04-E04-T03,S04-E04-T04,S04-E04-T05,S05-E01-T01,S05-E01-T02,S05-E01-T03,S05-E02-T01,S05-E02-T02,S05-E03-T01,S05-E03-T02,S05-E03-T03,S05-E03-T04,S05-E04-T01,S05-E04-T02,S05-E04-T03,S05-E04-T04,S06-E01-T01
B0367,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
B0368,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
B0369,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
B0370,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0371,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
B0372,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0
B0373,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0
B0374,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0
B0375,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0
B0376,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0
