athlete,condition,n_derived_min,n_derived_max,n_derived_unique
B0367,E01,101,101,[101]
B0367,E02,101,101,[101]
B0367,E04,25,25,[25]
B0368,E01,101,101,[101]
B0368,E02,74,101,"[74, 101]"
B0369,E01,74,74,[74]
B0369,E02,74,74,[74]
B0369,E04,25,25,[25]
B0370,E01,74,74,[74]
B0370,E02,74,74,[74]
B0371,E01,74,74,[74]
B0371,E02,74,74,[74]
B0371,E03,25,25,[25]
B0372,E01,74,74,[74]
B0372,E02,74,74,[74]
B0372,E03,25,25,[25]
B0372,E04,25,25,[25]
B0373,E01,74,74,[74]
B0373,E02,74,74,[74]
B0373,E03,25,25,[25]
B0373,E04,25,25,[25]
B0374,E01,74,74,[74]
B0374,E02,74,74,[74]
B0374,E03,25,25,[25]
B0374,E04,25,25,[25]
B0375,E01,74,74,[74]
B0375,E02,74,74,[74]
B0375,E03,25,25,[25]
B0375,E04,25,25,[25]
B0376,E01,74,74,[74]
B0376,E02,74,74,[74]
B0376,E03,25,25,[25]
B0376,E04,25,25,[25]
B0377,E01,74,74,[74]
B0377,E02,74,74,[74]
B0377,E03,25,25,[25]
B0377,E04,25,25,[25]
B0378,E01,74,74,[74]
B0378,E02,74,74,[74]
B0378,E03,25,25,[25]
B0378,E04,25,25,[25]
B0379,E01,74,74,[74]
B0379,E02,74,74,[74]
B0379,E03,25,25,[25]
B0379,E04,25,25,[25]
B0380,E01,74,74,[74]
B0380,E02,74,74,[74]
B0380,E03,25,25,[25]
B0380,E04,25,25,[25]
B0381,E01,74,74,[74]
B0381,E02,74,74,[74]
B0381,E03,25,25,[25]
B0381,E04,25,25,[25]
B0382,E01,74,74,[74]
B0382,E02,74,74,[74]
B0382,E04,25,25,[25]
B0383,E01,74,74,[74]
B0383,E02,74,74,[74]
B0383,E04,25,25,[25]
B0384,E01,74,74,[74]
B0384,E02,74,74,[74]
B0384,E03,25,25,[25]
B0384,E04,25,25,[25]
B0385,E01,74,74,[74]
B0385,E02,74,74,[74]
B0385,E03,25,25,[25]
B0385,E04,25,25,[25]
B0386,E01,74,74,[74]
B0386,E02,74,74,[74]
B0386,E03,25,25,[25]
B0386,E04,25,25,[25]
B0387,E01,74,74,[74]
B0387,E02,74,74,[74]
B0387,E03,25,25,[25]
B0387,E04,25,25,[25]
B0388,E01,74,74,[74]
B0388,E02,74,74,[74]
B0388,E03,25,25,[25]
B0388,E04,25,25,[25]
B0389,E01,74,74,[74]
B0389,E02,74,74,[74]
B0389,E03,25,25,[25]
B0389,E04,25,25,[25]
B0391,E01,74,74,[74]
B0391,E02,74,74,[74]
B0391,E03,25,25,[25]
B0391,E04,25,25,[25]
B0392,E01,74,74,[74]
B0392,E02,74,74,[74]
B0392,E03,25,25,[25]
B0392,E04,25,25,[25]
B0393,E01,74,74,[74]
B0393,E02,74,74,[74]
B0393,E03,25,25,[25]
B0393,E04,25,25,[25]
B0394,E01,74,74,[74]
B0394,E02,74,74,[74]
B0394,E03,25,25,[25]
B0394,E04,25,25,[25]
B0395,E01,74,74,[74]
B0395,E02,74,74,[74]
B0395,E03,25,25,[25]
B0395,E04,25,25,[25]
B0396,E01,74,74,[74]
B0396,E02,74,74,[74]
B0396,E03,25,25,[25]
B0396,E04,25,25,[25]
B0398,E01,74,74,[74]
B0398,E02,74,74,[74]
B0398,E03,25,25,[25]
B0398,E04,25,25,[25]
B0399,E01,74,74,[74]
B0399,E02,74,74,[74]
B0399,E03,25,25,[25]
B0399,E04,25,25,[25]
B0400,E01,48,74,"[48, 74]"
B0400,E02,48,74,"[48, 74]"
B0400,E03,25,25,[25]
B0400,E04,25,25,[25]
B0401,E01,74,74,[74]
B0401,E02,74,74,[74]
B0401,E03,25,25,[25]
B0401,E04,25,25,[25]
B0402,E01,74,74,[74]
B0402,E02,74,74,[74]
B0402,E03,25,25,[25]
B0402,E04,25,25,[25]
B0403,E01,74,74,[74]
B0403,E02,74,74,[74]
B0403,E03,25,25,[25]
B0403,E04,25,25,[25]
B0404,E01,74,74,[74]
B0404,E02,74,74,[74]
B0404,E03,25,25,[25]
B0404,E04,25,25,[25]
B0405,E01,74,74,[74]
B0405,E02,74,74,[74]
B0405,E03,25,25,[25]
B0405,E04,25,25,[25]
