athlete_id,technique,RFIN,RTOE,LTOE,RANK,LANK,RHEE,LHEE
B0367,S01,True,True,True,True,True,True,True
B0367,S02,True,True,True,True,True,True,True
B0367,S03,True,True,True,True,True,True,True
B0367,S04,True,True,True,True,True,True,True
B0367,S05,True,True,True,True,True,True,True
B0368,S01,True,True,True,True,True,True,True
B0368,S02,True,True,True,True,True,True,True
B0368,S03,True,True,True,True,True,True,True
B0368,S04,True,True,True,True,True,True,True
B0368,S05,True,True,True,True,True,True,True
B0369,S01,True,True,True,True,True,True,True
B0369,S02,True,True,True,True,True,True,True
B0369,S03,True,True,True,True,True,True,True
B0369,S04,True,True,True,True,True,True,True
B0369,S05,True,True,True,True,True,True,True
B0370,S01,True,True,True,True,True,True,True
B0370,S02,True,True,True,True,True,True,True
B0370,S03,True,True,True,True,True,True,True
B0370,S04,True,True,True,True,True,True,True
B0371,S01,True,True,True,True,True,True,True
B0371,S02,True,True,True,True,True,True,True
B0371,S03,True,True,True,True,True,True,True
B0371,S04,True,True,True,True,True,True,True
B0371,S05,True,True,True,True,True,True,True
B0372,S01,True,True,True,True,True,True,True
B0372,S02,True,True,True,True,True,True,True
B0372,S03,True,True,True,True,True,True,True
B0372,S04,True,True,True,True,True,True,True
B0372,S05,True,True,True,True,True,True,True
B0373,S01,True,True,True,True,True,True,True
B0373,S02,True,True,True,True,True,True,True
B0373,S03,True,True,True,True,True,True,True
B0373,S04,True,True,True,True,True,True,True
B0373,S05,True,True,True,True,True,True,True
B0374,S01,True,True,True,True,True,True,True
B0374,S02,True,True,True,True,True,True,True
B0374,S03,True,True,True,True,True,True,True
B0374,S04,True,True,True,True,True,True,True
B0374,S05,True,True,True,True,True,True,True
B0375,S01,True,True,True,True,True,True,True
B0375,S02,True,True,True,True,True,True,True
B0375,S03,True,True,True,True,True,True,True
B0375,S04,True,True,True,True,True,True,True
B0375,S05,True,True,True,True,True,True,True
B0376,S01,True,True,True,True,True,True,True
B0376,S02,True,True,True,True,True,True,True
B0376,S03,True,True,True,True,True,True,True
B0376,S04,True,True,True,True,True,True,True
B0376,S05,True,True,True,True,True,True,True
B0377,S01,True,True,True,True,True,True,True
B0377,S02,True,True,True,True,True,True,True
B0377,S03,True,True,True,True,True,True,True
B0377,S04,True,True,True,True,True,True,True
B0377,S05,True,True,True,True,True,True,True
B0378,S01,True,True,True,True,True,True,True
B0378,S02,True,True,True,True,True,True,True
B0378,S03,True,True,True,True,True,True,True
B0378,S04,True,True,True,True,True,True,True
B0378,S05,True,True,True,True,True,True,True
B0379,S01,True,True,True,True,True,True,True
B0379,S02,True,True,True,True,True,True,True
B0379,S03,True,True,True,True,True,True,True
