athlete,file_name,technique,condition,trial,n_subjects,role,subjects
B0367,2017-01-31-B0367-S01-E01-T01.c3d,S01,E01,T01,1,single,B0367
B0367,2017-01-31-B0367-S01-E02-T01.c3d,S01,E02,T01,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S01-E02-T02.c3d,S01,E02,T02,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S01-E04-T01.c3d,S01,E04,T01,2,multi_subject,B0368|B0367
B0367,2017-01-31-B0367-S01-E04-T02.c3d,S01,E04,T02,2,multi_subject,B0368|B0367
B0367,2017-01-31-B0367-S02-E01-T01.c3d,S02,E01,T01,1,single,B0367
B0367,2017-01-31-B0367-S02-E01-T02.c3d,S02,E01,T02,1,single,B0367
B0367,2017-01-31-B0367-S02-E02-T01.c3d,S02,E02,T01,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S02-E02-T02.c3d,S02,E02,T02,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S02-E04-T01.c3d,S02,E04,T01,2,multi_subject,B0368|B0367
B0367,2017-01-31-B0367-S02-E04-T02.c3d,S02,E04,T02,2,multi_subject,B0368|B0367
B0367,2017-01-31-B0367-S03-E01-T01.c3d,S03,E01,T01,1,single,B0367
B0367,2017-01-31-B0367-S03-E01-T02.c3d,S03,E01,T02,1,single,B0367
B0367,2017-01-31-B0367-S03-E02-T01.c3d,S03,E02,T01,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S03-E02-T02.c3d,S03,E02,T02,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S03-E04-T01.c3d,S03,E04,T01,2,multi_subject,B0367|B0368
B0367,2017-01-31-B0367-S03-E04-T02.c3d,S03,E04,T02,2,multi_subject,B0367|B0368
B0367,2017-01-31-B0367-S04-E01-T01.c3d,S04,E01,T01,1,single,B0367
B0367,2017-01-31-B0367-S04-E01-T02.c3d,S04,E01,T02,1,single,B0367
B0367,2017-01-31-B0367-S04-E02-T01.c3d,S04,E02,T01,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S04-E02-T02.c3d,S04,E02,T02,2,multi_subject,Tarcza|B0367
B0367,2017-01-31-B0367-S04-E04-T01.c3d,S04,E04,T01,2,multi_subject,B0367|B0368
B0367,2017-01-31-B0367-S04-E04-T02.c3d,S04,E04,T02,2,multi_subject,B0367|B0368
B0367,2017-01-31-B0367-S05-E01-T01.c3d,S05,E01,T01,1,single,B0367
B0367,2017-01-31-B0367-S05-E01-T02.c3d,S05,E01,T02,1,single,B0367
B0367,2017-01-31-B0367-S05-E02-T01.c3d,S05,E02,T01,2,multi_subject,Tarcza|B0367
B0368,2017-01-31-B0368-S01-E01-T01.c3d,S01,E01,T01,1,single,B0368
B0368,2017-01-31-B0368-S01-E01-T02.c3d,S01,E01,T02,1,single,B0368
B0368,2017-01-31-B0368-S01-E01-T03.c3d,S01,E01,T03,1,single,B0368
B0368,2017-01-31-B0368-S01-E02-T01.c3d,S01,E02,T01,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S01-E02-T02.c3d,S01,E02,T02,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S02-E01-T01.c3d,S02,E01,T01,1,single,B0368
B0368,2017-01-31-B0368-S02-E01-T02.c3d,S02,E01,T02,1,single,B0368
B0368,2017-01-31-B0368-S02-E02-T01.c3d,S02,E02,T01,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S02-E02-T02.c3d,S02,E02,T02,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S03-E01-T01.c3d,S03,E01,T01,1,single,B0368
B0368,2017-01-31-B0368-S03-E01-T02.c3d,S03,E01,T02,1,single,B0368
B0368,2017-01-31-B0368-S03-E02-T01.c3d,S03,E02,T01,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S03-E02-T02.c3d,S03,E02,T02,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S04-E01-T01.c3d,S04,E01,T01,1,single,B0368
B0368,2017-01-31-B0368-S04-E01-T02.c3d,S04,E01,T02,1,single,B0368
B0368,2017-01-31-B0368-S04-E02-T01.c3d,S04,E02,T01,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S04-E02-T02.c3d,S04,E02,T02,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S05-E01-T01.c3d,S05,E01,T01,1,single,B0368
B0368,2017-01-31-B0368-S05-E01-T02.c3d,S05,E01,T02,1,single,B0368
B0368,2017-01-31-B0368-S05-E02-T01.c3d,S05,E02,T01,2,multi_subject,Tarcza|B0368
B0368,2017-01-31-B0368-S05-E02-T02.c3d,S05,E02,T02,2,multi_subject,Tarcza|B0368
B0369,2017-01-31-B0369-S01-E01-T01.c3d,S01,E01,T01,1,single,B0369
B0369,2017-01-31-B0369-S01-E01-T02.c3d,S01,E01,T02,1,single,B0369
B0369,2017-01-31-B0369-S01-E02-T01.c3d,S01,E02,T01,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S01-E02-T02.c3d,S01,E02,T02,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S01-E04-T01.c3d,S01,E04,T01,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S01-E04-T02.c3d,S01,E04,T02,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S02-E01-T01.c3d,S02,E01,T01,1,single,B0369
B0369,2017-01-31-B0369-S02-E01-T02.c3d,S02,E01,T02,1,single,B0369
B0369,2017-01-31-B0369-S02-E02-T01.c3d,S02,E02,T01,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S02-E02-T02.c3d,S02,E02,T02,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S02-E04-T01.c3d,S02,E04,T01,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S02-E04-T02.c3d,S02,E04,T02,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S03-E01-T01.c3d,S03,E01,T01,1,single,B0369
B0369,2017-01-31-B0369-S03-E01-T02.c3d,S03,E01,T02,1,single,B0369
B0369,2017-01-31-B0369-S03-E02-T01.c3d,S03,E02,T01,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S03-E02-T02.c3d,S03,E02,T02,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S03-E04-T01.c3d,S03,E04,T01,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S03-E04-T02.c3d,S03,E04,T02,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S04-E01-T01.c3d,S04,E01,T01,1,single,B0369
B0369,2017-01-31-B0369-S04-E01-T02.c3d,S04,E01,T02,1,single,B0369
B0369,2017-01-31-B0369-S04-E02-T01.c3d,S04,E02,T01,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S04-E02-T02.c3d,S04,E02,T02,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S04-E04-T01.c3d,S04,E04,T01,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S04-E04-T02.c3d,S04,E04,T02,2,multi_subject,B0370|B0369
B0369,2017-01-31-B0369-S05-E01-T01.c3d,S05,E01,T01,1,single,B0369
B0369,2017-01-31-B0369-S05-E01-T02.c3d,S05,E01,T02,1,single,B0369
B0369,2017-01-31-B0369-S05-E02-T01.c3d,S05,E02,T01,2,multi_subject,Tarcza|B0369
B0369,2017-01-31-B0369-S05-E02-T02.c3d,S05,E02,T02,2,multi_subject,Tarcza|B0369
B0370,2017-01-31-B0370-S01-E01-T01.c3d,S01,E01,T01,1,single,B0370
B0370,2017-01-31-B0370-S01-E01-T02.c3d,S01,E01,T02,1,single,B0370
B0370,2017-01-31-B0370-S01-E02-T01.c3d,S01,E02,T01,2,multi_subject,Tarcza|B0370
B0370,2017-01-31-B0370-S01-E02-T02.c3d,S01,E02,T02,2,multi_subject,Tarcza|B0370
B0370,2017-01-31-B0370-S02-E01-T01.c3d,S02,E01,T01,1,single,B0370
B0370,2017-01-31-B0370-S02-E01-T02.c3d,S02,E01,T02,1,single,B0370
B0370,2017-01-31-B0370-S02-E02-T01.c3d,S02,E02,T01,2,multi_subject,Tarcza|B0370
