athlete_id,rates,rate_group
B0367,[200.0],200_Hz
B0368,[200.0],200_Hz
B0369,[200.0],200_Hz
B0370,[200.0],200_Hz
B0371,[250.0],250_Hz
B0372,[250.0],250_Hz
B0373,[250.0],250_Hz
B0374,[250.0],250_Hz
B0375,[250.0],250_Hz
B0376,[250.0],250_Hz
B0377,[250.0],250_Hz
B0378,[250.0],250_Hz
B0379,[250.0],250_Hz
B0380,[250.0],250_Hz
B0381,[250.0],250_Hz
B0382,[250.0],250_Hz
B0383,[250.0],250_Hz
B0384,[250.0],250_Hz
B0385,[250.0],250_Hz
B0386,[250.0],250_Hz
B0387,[250.0],250_Hz
B0388,[250.0],250_Hz
B0389,[250.0],250_Hz
B0391,[250.0],250_Hz
B0392,[250.0],250_Hz
B0393,[250.0],250_Hz
B0394,[250.0],250_Hz
B0395,[250.0],250_Hz
B0396,[250.0],250_Hz
B0398,[250.0],250_Hz
B0399,[250.0],250_Hz
B0400,[250.0],250_Hz
B0401,[250.0],250_Hz
B0402,[250.0],250_Hz
B0403,[250.0],250_Hz
B0404,[250.0],250_Hz
B0405,[250.0],250_Hz
