athlete,rate_hz,group,readiness
B0367,200.0,A,scaling_ready
B0368,200.0,C,requires_review
B0369,200.0,C,requires_review
B0370,200.0,C,requires_review
B0371,250.0,B,scaling_ready
B0372,250.0,B,scaling_ready
B0373,250.0,B,scaling_ready
B0374,250.0,B,scaling_ready
B0375,250.0,B,scaling_ready
B0376,250.0,B,scaling_ready
B0377,250.0,B,scaling_ready
B0378,250.0,B,scaling_ready
B0379,250.0,B,scaling_ready
B0380,250.0,B,scaling_ready
B0381,250.0,B,scaling_ready
B0382,250.0,B,scaling_ready
B0383,250.0,B,scaling_ready
B0384,250.0,B,scaling_ready
B0385,250.0,B,scaling_ready
B0386,250.0,B,scaling_ready
B0387,250.0,B,scaling_ready
B0388,250.0,B,scaling_ready
B0389,250.0,B,scaling_ready
B0391,250.0,B,scaling_ready
B0392,250.0,B,scaling_ready
B0393,250.0,B,scaling_ready
B0394,250.0,B,scaling_ready
B0395,250.0,B,scaling_ready
B0396,250.0,B,scaling_ready
B0398,250.0,B,scaling_ready
B0399,250.0,B,scaling_ready
B0400,250.0,B,scaling_ready
B0401,250.0,B,scaling_ready
B0402,250.0,B,scaling_ready
B0403,250.0,B,scaling_ready
B0404,250.0,B,scaling_ready
B0405,250.0,B,scaling_ready
