athlete_id,execution_id,technique,condition,trial,repetition,sampling_rate_hz,primary_signal,movement_side,event_id,duration_s,time_to_peak_s,vmax,vmean,amax,displacement,path_length,hip_rom,knee_rom,ankle_rom,snr,qc_status,quality_flag,comparability_duration_s,comparability_time_to_peak_s,comparability_vmax,comparability_vmean,comparability_amax,comparability_displacement,comparability_path_length,comparability_hip_rom,comparability_knee_rom,comparability_ankle_rom,comparability_snr,feature_version,segmentation_version,units_version,source_dataset,mart_version
B0367,B0367|S02|E01|T01|001,S02,E01,T01,1,200.0,RTOE,R,0,0.81,0.225,10.301,5.442,169.34,0.05,4.41,124.44446563720705,153.55157852172852,45.08841514587402,671.3,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S02|E01|T01|002,S02,E01,T01,2,200.0,RTOE,R,1,0.855,0.235,10.372,5.242,166.91,0.06,4.484,120.7467918395996,158.9480972290039,46.00136852264404,671.3,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S02|E01|T01|003,S02,E01,T01,3,200.0,RTOE,R,2,0.82,0.24,10.289,5.449,167.32,0.053,4.469,120.08327293395996,156.9715118408203,42.39144134521485,671.3,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S03|E01|T01|001,S03,E01,T01,1,200.0,RTOE,R,0,1.035,0.23,10.551,4.074,188.2,0.143,4.217,108.87234115600586,151.09489822387695,44.73569869995117,737.2,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S03|E01|T01|002,S03,E01,T01,2,200.0,RTOE,R,1,0.855,0.215,10.294,4.553,149.04,0.243,3.893,111.46256256103516,150.50559043884277,33.29898452758789,737.2,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S03|E01|T01|003,S03,E01,T01,3,200.0,RTOE,R,2,0.955,0.215,10.404,4.387,155.22,0.051,4.191,109.86539840698242,152.09917640686035,38.46078681945801,737.2,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S05|E01|T01|001,S05,E01,T01,1,200.0,RTOE,R,0,0.77,0.285,10.047,7.26,88.68,0.605,5.597,163.45983123779297,140.13553619384766,44.32547187805176,481.7,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S05|E01|T01|002,S05,E01,T01,2,200.0,RTOE,R,2,0.74,0.275,10.544,7.487,93.1,0.678,5.548,116.85710525512695,125.53392028808594,52.936967849731445,481.7,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0367,B0367|S05|E01|T01|003,S05,E01,T01,3,200.0,RTOE,R,4,0.785,0.31,9.981,7.327,83.55,0.493,5.758,134.7321739196777,132.62801361083984,41.931562423706055,481.7,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
B0377,B0377|S02|E01|T01|001,S02,E01,T01,1,250.0,RTOE,R,0,0.92,0.364,6.483,3.925,126.93,0.235,3.61,118.95241165161131,150.56564140319824,44.76926231384277,250.3,accepted,OK,DIRECTLY_COMPARABLE,DIRECTLY_COMPARABLE,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,REQUIRES_NORMALIZATION,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,COMPARABLE_WITH_CAVEAT,1.0,1.8.0,1.0,feature_readiness_sample,1.0
