source_file,athlete_id,technique,technique_name,condition,condition_name,trial,role,execution_type,repetition,signal_used,signal_snr,sampling_rate_hz,position_unit,velocity_unit,acceleration_unit,segmentation_method,segmentation_version,event_id,start_frame,peak_frame,end_frame,start_time_s,peak_time_s,end_time_s,duration_s,time_to_peak_s,vmax_m_s,vmean_m_s,amax_m_s2,amean_m_s2,displacement_m,path_length_m,rom_m,rom_RShoulderAngles,avg_angvel_RShoulderAngles,rom_RElbowAngles,avg_angvel_RElbowAngles,rom_RHipAngles,avg_angvel_RHipAngles,rom_RKneeAngles,avg_angvel_RKneeAngles,rom_RAnkleAngles,avg_angvel_RAnkleAngles,com_vmax_m_s,com_rom_m,coord_delay_proximal_distal_s,angle_unit,force_unit,moment_unit,power_unit
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,Gyaku-Zuki,E01,air,T01,atacante,technique,1,RFIN,91.8,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,1,413,457,521,2.065,2.285,2.605,0.54,0.22,6.591,3.365,121.59,27.33,0.19,1.816,0.74,152.98628997802734,213.96465659916998,130.38179016113804,220.37428888064855,67.47883987426758,67.4977928683223,103.6368637084961,117.02119643890211,,,1.152,0.149,0.0,deg,N,Nmm,W
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,Gyaku-Zuki,E01,air,T01,atacante,technique,2,RFIN,91.8,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,3,701,749,812,3.505,3.745,4.06,0.555,0.24,6.771,3.46,120.86,25.99,0.15,1.92,0.81,148.98134231567383,223.97096177818392,130.62294006348253,223.8624129840249,77.22730827331543,80.40151958991794,107.65120124816895,114.35085989823736,,,1.24,0.173,0.55,deg,N,Nmm,W
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,Gyaku-Zuki,E01,air,T01,atacante,technique,3,RFIN,91.8,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,5,988,1035,1099,4.94,5.175,5.495,0.555,0.235,6.872,3.586,113.27,25.9,0.224,1.991,0.826,167.2473602294922,237.96452405022862,131.36976623535753,224.13521714378146,78.41022109985352,71.35044868537925,102.23223686218262,100.21795651311473,,,1.222,0.158,0.55,deg,N,Nmm,W
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,Mae-Geri,E01,air,T01,atacante,technique,1,RTOE,671.3,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,0,352,397,514,1.76,1.985,2.57,0.81,0.225,10.301,5.442,169.34,33.21,0.05,4.41,2.013,,,,,124.44446563720703,129.92429666827718,153.55157852172852,275.91957875498184,45.08841514587402,53.78562253151439,1.022,0.237,-0.57,deg,N,Nmm,W
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,Mae-Geri,E01,air,T01,atacante,technique,2,RTOE,671.3,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,1,743,790,914,3.715,3.95,4.57,0.855,0.235,10.372,5.242,166.91,31.77,0.06,4.484,2.039,,,,,120.74679183959961,120.26798165038387,158.9480972290039,277.3782491298289,46.00136852264404,53.809802563350395,1.044,0.252,0.0,deg,N,Nmm,W
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,Mae-Geri,E01,air,T01,atacante,technique,3,RTOE,671.3,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,2,1126,1174,1290,5.63,5.87,6.45,0.82,0.24,10.289,5.449,167.32,32.76,0.053,4.469,2.031,,,,,120.08327293395996,135.3994558741189,156.9715118408203,281.5403094370109,42.391441345214844,55.61854241227895,1.036,0.244,-0.565,deg,N,Nmm,W
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,Mawashi-Geri gedan,E01,air,T01,atacante,technique,1,RTOE,737.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,0,331,377,538,1.655,1.885,2.69,1.035,0.23,10.551,4.074,188.2,24.47,0.143,4.217,1.765,,,,,108.87234115600586,86.3208325466127,151.09489822387695,193.09435674319036,44.73569869995117,46.8058045415456,0.902,0.189,0.195,deg,N,Nmm,W
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,Mawashi-Geri gedan,E01,air,T01,atacante,technique,2,RTOE,737.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,1,730,773,901,3.65,3.865,4.505,0.855,0.215,10.294,4.553,149.04,27.49,0.243,3.893,1.788,,,,,111.46256256103516,91.77226855361019,150.50559043884277,231.32749687478625,33.29898452758789,53.54567930114069,0.815,0.19,0.85,deg,N,Nmm,W
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,Mawashi-Geri gedan,E01,air,T01,atacante,technique,3,RTOE,737.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,2,1095,1138,1286,5.475,5.69,6.43,0.955,0.215,10.404,4.387,155.22,26.2,0.051,4.191,1.783,,,,,109.86539840698242,97.65520814851797,152.09917640686035,217.9276260776202,38.46078681945801,54.60183577604738,0.832,0.189,0.95,deg,N,Nmm,W
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,Mawashi-Geri jodan,E01,air,T01,atacante,technique,1,RTOE,438.5,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,0,332,386,530,1.66,1.93,2.65,0.99,0.27,8.993,5.158,115.52,23.19,0.04,5.108,2.087,,,,,150.80310440063477,101.30564982280949,136.97635459899902,216.38716524760108,41.34421920776367,59.71071219369596,0.888,0.235,-0.695,deg,N,Nmm,W
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,Mawashi-Geri jodan,E01,air,T01,atacante,technique,2,RTOE,438.5,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,1,705,754,886,3.525,3.77,4.43,0.905,0.245,9.88,5.414,133.01,27.95,0.163,4.901,2.063,,,,,151.96220779418945,94.43651229086832,138.19739532470703,246.409369857683,40.09267044067383,57.26709162686844,0.888,0.226,-0.63,deg,N,Nmm,W
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,Mawashi-Geri jodan,E01,air,T01,atacante,technique,3,RTOE,438.5,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,2,1064,1116,1279,5.32,5.58,6.395,1.075,0.26,9.375,4.825,144.42,22.25,0.082,5.19,2.11,,,,,148.5391960144043,93.49678224571375,136.3261375427246,207.8149194366366,42.46779441833496,52.44901357224423,0.916,0.233,-0.78,deg,N,Nmm,W
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,Mawashi-Geri jodan,E02,shield,T01,atacante,technique,1,RTOE,714.8,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,0,305,354,450,1.525,1.77,2.25,0.725,0.245,15.426,6.418,342.12,50.53,0.568,4.653,2.205,,,,,116.44570541381836,95.26211487043625,144.39783668518066,267.587590112447,54.49473571777344,47.8333903126965,1.267,0.303,0.0,deg,N,Nmm,W
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,Mawashi-Geri jodan,E02,shield,T01,atacante,technique,2,RTOE,714.8,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,2,750,800,914,3.75,4.0,4.57,0.82,0.25,15.754,5.856,346.76,47.3,0.507,4.8,2.273,,,,,105.03693389892578,72.09111921343003,144.733793258667,253.58706291127768,58.16138744354248,46.613540262864234,1.319,0.301,0.0,deg,N,Nmm,W
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,Mawashi-Geri jodan,E02,shield,T01,atacante,technique,3,RTOE,714.8,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,4,1172,1224,1341,5.86,6.12,6.705,0.845,0.26,15.949,6.045,330.85,45.45,0.304,5.107,2.283,,,,,111.06985092163086,85.11740671326099,143.48873901367188,243.4290481346115,56.294291496276855,43.84479181543328,1.312,0.282,0.0,deg,N,Nmm,W
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,Mawashi-Geri jodan,E04,defender,T01,defensor,defensive_response,1,RTOE,928.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,0,738,754,773,3.69,3.77,3.865,0.175,0.08,0.735,0.509,9.44,6.25,0.086,0.089,0.086,,,,,94.739501953125,39.284414623765365,114.48607444763184,361.3723990186658,40.16780471801758,83.68965430338994,,,0.17,deg,N,Nmm,W
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,Mawashi-Geri jodan,E04,defender,T01,defensor,defensive_response,2,RTOE,928.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,1,870,888,903,4.35,4.44,4.515,0.165,0.09,1.15,0.739,17.38,11.45,0.122,0.123,0.122,,,,,23.14963436126709,119.75131766557935,89.08555316925049,229.87290560082312,31.20952796936035,93.81188141384324,,,0.0,deg,N,Nmm,W
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,Mawashi-Geri jodan,E04,defender,T01,defensor,defensive_response,3,RTOE,928.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,2,1074,1090,1108,5.37,5.45,5.54,0.17,0.08,0.528,0.404,6.24,3.91,0.065,0.069,0.065,,,,,79.5028305053711,53.313654629878954,114.03200435638428,346.65671984773877,39.52825093269348,83.42268317873665,,,0.0,deg,N,Nmm,W
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,Mawashi-Geri jodan,E04,defender,T01,defensor,defensive_response,4,RTOE,928.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,3,1205,1225,1241,6.025,6.125,6.205,0.18,0.1,1.174,0.756,15.84,10.66,0.136,0.137,0.136,,,,,27.050854682922363,68.56833399612898,114.88420486450195,309.12674513044516,35.90581798553467,83.63966663944105,,,0.0,deg,N,Nmm,W
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,Mawashi-Geri jodan,E04,defender,T01,defensor,defensive_response,5,RTOE,928.2,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,4,1381,1398,1423,6.905,6.99,7.115,0.21,0.085,1.136,0.723,14.9,9.02,0.147,0.152,0.147,,,,,80.27436828613281,64.70430683459713,117.05868721008301,327.6691138969575,41.87668228149414,79.87496502876783,,,0.205,deg,N,Nmm,W
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,Ushiro-Mawashi-Geri,E01,air,T01,atacante,technique,1,RTOE,481.7,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,0,388,445,542,1.94,2.225,2.71,0.77,0.285,10.047,7.26,88.68,28.25,0.605,5.597,2.236,,,,,163.45983123779297,90.33414913292489,140.13553619384766,263.97218508177286,44.32547187805176,51.79011324883509,0.977,0.304,0.765,deg,N,Nmm,W
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,Ushiro-Mawashi-Geri,E01,air,T01,atacante,technique,2,RTOE,481.7,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,2,973,1028,1121,4.865,5.14,5.605,0.74,0.275,10.544,7.487,93.1,31.19,0.678,5.548,2.224,,,,,116.85710525512695,90.7463161180199,125.53392028808594,242.78245448068338,52.936967849731445,59.35383289619777,1.1,0.335,0.735,deg,N,Nmm,W
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,Ushiro-Mawashi-Geri,E01,air,T01,atacante,technique,3,RTOE,481.7,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,4,1519,1581,1676,7.595,7.905,8.38,0.785,0.31,9.981,7.327,83.55,28.42,0.493,5.758,2.24,,,,,134.73217391967773,93.0296709318109,132.62801361083984,223.47374021020187,41.931562423706055,51.36483807364864,0.971,0.28,0.32,deg,N,Nmm,W
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,Ushiro-Mawashi-Geri,E02,shield,T01,atacante,technique,1,RTOE,319.1,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,0,283,335,480,1.415,1.675,2.4,0.985,0.26,10.826,4.856,182.34,28.89,1.043,4.783,2.31,,,,,165.6618995666504,117.60859502211748,126.47381591796875,189.93368641276544,30.620614051818848,38.45161810099922,1.15,0.343,-0.64,deg,N,Nmm,W
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,Ushiro-Mawashi-Geri,E02,shield,T01,atacante,technique,2,RTOE,319.1,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,4,879,933,1106,4.395,4.665,5.53,1.135,0.27,10.596,4.752,229.02,25.0,0.541,5.396,2.289,,,,,150.68696975708008,106.59167074961435,134.78128051757812,165.05056961356806,53.711843490600586,39.3523693852184,1.084,0.315,-0.775,deg,N,Nmm,W
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,Ushiro-Mawashi-Geri,E02,shield,T01,atacante,technique,3,RTOE,319.1,200.0,mm,mm/s,mm/s2,activity_bands,1.8.0,7,1476,1545,1752,7.38,7.725,8.76,1.38,0.345,11.493,4.179,250.58,22.88,0.158,5.766,2.328,,,,,152.10842895507812,90.60867037168127,123.00588989257812,114.91254205807105,39.771352767944336,32.61655684748713,1.154,0.352,-1.01,deg,N,Nmm,W
