source_file,athlete,technique,condition,trial,repetition,quality_flag,quality_notes,nan_endpoint_pct
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,1,OK,ok,0.0
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,2,OK,ok,0.0
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,3,OK,ok,0.0
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,E01,T01,1,OK,ok,0.0
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,E01,T01,2,OK,ok,0.0
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,E01,T01,3,OK,ok,0.0
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,E01,T01,1,OK,ok,0.0
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,E01,T01,2,OK,ok,0.0
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,E01,T01,3,OK,ok,0.0
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,E01,T01,1,OK,ok,0.0
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,E01,T01,2,OK,ok,0.0
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,E01,T01,3,OK,ok,0.0
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,1,OK,ok,0.0
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,2,OK,ok,0.0
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,3,OK,ok,0.0
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,1,OK,ok,0.0
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,2,OK,ok,0.0
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,3,OK,ok,0.0
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,4,OK,ok,0.0
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,5,OK,ok,0.0
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,1,OK,ok,0.0
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,2,OK,ok,0.0
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,3,OK,ok,0.0
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,1,OK,ok,0.0
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,2,OK,ok,0.0
2017-01-31-B0367-S05-E02-T01.c3d,B0367,S05,E02,T01,3,OK,ok,0.0
