athlete_id,technique,condition,trial,execution_id,duration_s,time_to_peak_s,vmax,vmean,amax,displacement,path_length,snr,hip_rom,knee_rom,ankle_rom,qc_status,quality_flag
B0367,S02,E01,T01,B0367|S02|E01|T01|001,0.81,0.225,10.301,5.442,169.34,0.05,4.41,671.3,124.44446563720705,153.55157852172852,45.08841514587402,accepted,OK
B0367,S02,E01,T01,B0367|S02|E01|T01|002,0.855,0.235,10.372,5.242,166.91,0.06,4.484,671.3,120.7467918395996,158.9480972290039,46.00136852264404,accepted,OK
B0367,S02,E01,T01,B0367|S02|E01|T01|003,0.82,0.24,10.289,5.449,167.32,0.053,4.469,671.3,120.08327293395996,156.9715118408203,42.39144134521485,accepted,OK
B0367,S03,E01,T01,B0367|S03|E01|T01|001,1.035,0.23,10.551,4.074,188.2,0.143,4.217,737.2,108.87234115600586,151.09489822387695,44.73569869995117,accepted,OK
B0367,S03,E01,T01,B0367|S03|E01|T01|002,0.855,0.215,10.294,4.553,149.04,0.243,3.893,737.2,111.46256256103516,150.50559043884277,33.29898452758789,accepted,OK
B0367,S03,E01,T01,B0367|S03|E01|T01|003,0.955,0.215,10.404,4.387,155.22,0.051,4.191,737.2,109.86539840698242,152.09917640686035,38.46078681945801,accepted,OK
B0367,S05,E01,T01,B0367|S05|E01|T01|001,0.77,0.285,10.047,7.26,88.68,0.605,5.597,481.7,163.45983123779297,140.13553619384766,44.32547187805176,accepted,OK
B0367,S05,E01,T01,B0367|S05|E01|T01|002,0.74,0.275,10.544,7.487,93.1,0.678,5.548,481.7,116.85710525512695,125.53392028808594,52.936967849731445,accepted,OK
B0367,S05,E01,T01,B0367|S05|E01|T01|003,0.785,0.31,9.981,7.327,83.55,0.493,5.758,481.7,134.7321739196777,132.62801361083984,41.931562423706055,accepted,OK
B0377,S02,E01,T01,B0377|S02|E01|T01|001,0.92,0.364,6.483,3.925,126.93,0.235,3.61,250.3,118.95241165161131,150.56564140319824,44.76926231384277,accepted,OK
B0377,S02,E01,T01,B0377|S02|E01|T01|002,1.064,0.328,7.149,3.577,134.7,0.075,3.807,250.3,105.85547637939452,154.29060745239258,48.664588928222656,accepted,OK
B0377,S02,E01,T01,B0377|S02|E01|T01|003,0.972,0.344,7.024,3.797,137.43,0.233,3.692,250.3,115.60749435424805,156.31956481933594,48.27896308898926,accepted,OK
B0377,S03,E01,T01,B0377|S03|E01|T01|001,0.92,0.244,10.39,4.046,193.57,0.242,3.721,140.5,91.95783615112305,154.2402057647705,61.557010650634766,accepted,OK
B0377,S03,E01,T01,B0377|S03|E01|T01|002,0.904,0.26,9.415,3.903,181.85,0.067,3.528,140.5,86.46669387817383,140.7641258239746,63.69257831573486,accepted,OK
B0377,S03,E01,T01,B0377|S03|E01|T01|003,0.984,0.268,9.139,3.542,155.75,0.395,3.484,140.5,81.92161750793457,132.2725887298584,60.92856025695801,accepted,OK
B0377,S05,E01,T01,B0377|S05|E01|T01|001,1.02,0.26,9.385,4.561,90.32,0.658,4.653,302.0,148.43455505371094,118.37795066833496,69.16562461853027,accepted,OK
B0377,S05,E01,T01,B0377|S05|E01|T01|002,0.736,0.252,8.994,6.092,69.32,0.754,4.485,302.0,145.22892379760742,113.3020725250244,55.84102630615234,accepted,OK
B0377,S05,E01,T01,B0377|S05|E01|T01|003,0.632,0.188,9.109,6.755,88.9,1.188,4.272,302.0,138.96081924438477,102.41351318359376,47.2995719909668,accepted,OK
