athlete,technique,condition,trial,repetition,start_time_s,peak_time_s,end_time_s,duration_s,signal,status
B0367,S01,E01,T01,1,2.065,2.285,2.605,0.54,RFIN,accepted
B0367,S01,E01,T01,2,3.505,3.745,4.06,0.555,RFIN,accepted
B0367,S01,E01,T01,3,4.94,5.175,5.495,0.555,RFIN,accepted
B0367,S02,E01,T01,1,1.76,1.985,2.57,0.81,RTOE,accepted
B0367,S02,E01,T01,2,3.715,3.95,4.57,0.855,RTOE,accepted
B0367,S02,E01,T01,3,5.63,5.87,6.45,0.82,RTOE,accepted
B0367,S03,E01,T01,1,1.655,1.885,2.69,1.035,RTOE,accepted
B0367,S03,E01,T01,2,3.65,3.865,4.505,0.855,RTOE,accepted
B0367,S03,E01,T01,3,5.475,5.69,6.43,0.955,RTOE,accepted
B0367,S04,E01,T01,1,1.66,1.93,2.65,0.99,RTOE,accepted
B0367,S04,E01,T01,2,3.525,3.77,4.43,0.905,RTOE,accepted
B0367,S04,E01,T01,3,5.32,5.58,6.395,1.075,RTOE,accepted
B0367,S04,E02,T01,1,1.525,1.77,2.25,0.725,RTOE,accepted
B0367,S04,E02,T01,2,3.75,4.0,4.57,0.82,RTOE,accepted
B0367,S04,E02,T01,3,5.86,6.12,6.705,0.845,RTOE,accepted
B0367,S04,E04,T01,1,3.69,3.77,3.865,0.175,RTOE,accepted
B0367,S04,E04,T01,2,4.35,4.44,4.515,0.165,RTOE,accepted
B0367,S04,E04,T01,3,5.37,5.45,5.54,0.17,RTOE,accepted
B0367,S04,E04,T01,4,6.025,6.125,6.205,0.18,RTOE,accepted
B0367,S04,E04,T01,5,6.905,6.99,7.115,0.21,RTOE,accepted
B0367,S05,E01,T01,1,1.94,2.225,2.71,0.77,RTOE,accepted
B0367,S05,E01,T01,2,4.865,5.14,5.605,0.74,RTOE,accepted
B0367,S05,E01,T01,3,7.595,7.905,8.38,0.785,RTOE,accepted
B0367,S05,E02,T01,1,1.415,1.675,2.4,0.985,RTOE,accepted
B0367,S05,E02,T01,2,4.395,4.665,5.53,1.135,RTOE,accepted
B0367,S05,E02,T01,3,7.38,7.725,8.76,1.38,RTOE,accepted
