source_file,athlete_id,technique,condition,trial,event_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,duration,signal_used,peak_ratio,status,rejection_reason
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,0,144,156,179,0.72,0.78,0.895,0.175,RFIN,0.18,rejected,activity_too_low
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,1,413,457,521,2.065,2.285,2.605,0.54,RFIN,0.96,accepted,
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,2,663,671,677,3.315,3.355,3.385,0.07,RFIN,0.2,rejected,duration_too_short
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,3,701,749,812,3.505,3.745,4.06,0.555,RFIN,0.99,accepted,
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,4,950,954,958,4.75,4.77,4.79,0.04,RFIN,0.17,rejected,duration_too_short
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,5,988,1035,1099,4.94,5.175,5.495,0.555,RFIN,1.0,accepted,
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,6,1490,1495,1500,7.45,7.475,7.5,0.05,RFIN,0.16,rejected,duration_too_short
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,7,1522,1537,1552,7.61,7.685,7.76,0.15,RFIN,0.18,rejected,activity_too_low
2017-01-31-B0367-S01-E01-T01.c3d,B0367,S01,E01,T01,8,1577,1601,1645,7.885,8.005,8.225,0.34,RFIN,0.32,review,low_activity_uncertain
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,E01,T01,0,352,397,514,1.76,1.985,2.57,0.81,RTOE,0.99,accepted,
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,E01,T01,1,743,790,914,3.715,3.95,4.57,0.855,RTOE,1.0,accepted,
2017-01-31-B0367-S02-E01-T01.c3d,B0367,S02,E01,T01,2,1126,1174,1290,5.63,5.87,6.45,0.82,RTOE,0.99,accepted,
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,E01,T01,0,331,377,538,1.655,1.885,2.69,1.035,RTOE,1.0,accepted,
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,E01,T01,1,730,773,901,3.65,3.865,4.505,0.855,RTOE,0.98,accepted,
2017-01-31-B0367-S03-E01-T01.c3d,B0367,S03,E01,T01,2,1095,1138,1286,5.475,5.69,6.43,0.955,RTOE,0.99,accepted,
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,E01,T01,0,332,386,530,1.66,1.93,2.65,0.99,RTOE,0.91,accepted,
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,E01,T01,1,705,754,886,3.525,3.77,4.43,0.905,RTOE,1.0,accepted,
2017-01-31-B0367-S04-E01-T01.c3d,B0367,S04,E01,T01,2,1064,1116,1279,5.32,5.58,6.395,1.075,RTOE,0.95,accepted,
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,0,305,354,450,1.525,1.77,2.25,0.725,RTOE,0.97,accepted,
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,1,376,405,450,1.88,2.025,2.25,0.37,RTOE,0.48,rejected,secondary_peak
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,2,750,800,914,3.75,4.0,4.57,0.82,RTOE,0.99,accepted,
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,3,827,853,914,4.135,4.265,4.57,0.435,RTOE,0.44,rejected,secondary_peak
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,4,1172,1224,1341,5.86,6.12,6.705,0.845,RTOE,1.0,accepted,
2017-01-31-B0367-S04-E02-T01.c3d,B0367,S04,E02,T01,5,1251,1281,1341,6.255,6.405,6.705,0.45,RTOE,0.44,rejected,secondary_peak
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,0,738,754,773,3.69,3.77,3.865,0.175,RTOE,0.63,accepted,
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,1,870,888,903,4.35,4.44,4.515,0.165,RTOE,0.98,accepted,
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,2,1074,1090,1108,5.37,5.45,5.54,0.17,RTOE,0.45,accepted,
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,3,1205,1225,1241,6.025,6.125,6.205,0.18,RTOE,1.0,accepted,
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,4,1381,1398,1423,6.905,6.99,7.115,0.21,RTOE,0.97,accepted,
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,5,1777,1783,1789,8.885,8.915,8.945,0.06,RTOE,0.21,rejected,duration_too_short
2017-01-31-B0367-S04-E04-T01.c3d,B0367,S04,E04,T01,6,1952,1959,1966,9.76,9.795,9.83,0.07,RTOE,0.2,rejected,duration_too_short
2017-01-31-B0367-S05-E01-T01.c3d,B0367,S05,E01,T01,0,388,445,542,1.94,2.225,2.71,0.77,RTOE,0.95,accepted,
