date,athlete,technique,condition,trial,path,size_bytes
2017-01-31,B0367,S01,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E01-T01.c3d,6365536
2017-01-31,B0367,S01,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E02-T01.c3d,6561792
2017-01-31,B0367,S01,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E02-T02.c3d,5873664
2017-01-31,B0367,S01,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E04-T01.c3d,16186368
2017-01-31,B0367,S01,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S01\2017-01-31-B0367-S01-E04-T02.c3d,12168864
2017-01-31,B0367,S02,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E01-T01.c3d,6142304
2017-01-31,B0367,S02,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E01-T02.c3d,6724800
2017-01-31,B0367,S02,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E02-T01.c3d,5758976
2017-01-31,B0367,S02,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E02-T02.c3d,6310912
2017-01-31,B0367,S02,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E04-T01.c3d,10787568
2017-01-31,B0367,S02,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S02\2017-01-31-B0367-S02-E04-T02.c3d,10270592
2017-01-31,B0367,S03,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E01-T01.c3d,6574816
2017-01-31,B0367,S03,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E01-T02.c3d,6226016
2017-01-31,B0367,S03,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E02-T01.c3d,6371840
2017-01-31,B0367,S03,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E02-T02.c3d,6784000
2017-01-31,B0367,S03,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E04-T01.c3d,9994432
2017-01-31,B0367,S03,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S03\2017-01-31-B0367-S03-E04-T02.c3d,9899152
2017-01-31,B0367,S04,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E01-T01.c3d,6246944
2017-01-31,B0367,S04,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E01-T02.c3d,5856288
2017-01-31,B0367,S04,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E02-T01.c3d,6812672
2017-01-31,B0367,S04,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E02-T02.c3d,6346752
2017-01-31,B0367,S04,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E04-T01.c3d,13621424
2017-01-31,B0367,S04,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S04\2017-01-31-B0367-S04-E04-T02.c3d,10921824
2017-01-31,B0367,S05,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E01-T01.c3d,8175808
2017-01-31,B0367,S05,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E01-T02.c3d,6703872
2017-01-31,B0367,S05,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\B0367\2017-01-31-B0367-S05\2017-01-31-B0367-S05-E02-T01.c3d,8529408
