marker,region_anatomica,clase,presencia
LFHD,Cabeza (frente izq.),anatomical,global
RFHD,Cabeza (frente der.),anatomical,global
LBHD,Cabeza (post. izq.),anatomical,global
RBHD,Cabeza (post. der.),anatomical,global
C7,Columna (C7),anatomical,global
T10,Columna (T10),anatomical,global
CLAV,Clavícula/esternón,anatomical,global
STRN,Esternón,anatomical,global
RBAK,Espalda (escápula der.),anatomical,global
LSHO,Hombro izq.,anatomical,global
LUPA,Brazo izq. (húmero),anatomical,global
LELB,Codo izq.,anatomical,global
LFRM,Antebrazo izq.,anatomical,global
LWRA,Muñeca izq. (lado A),anatomical,global
LWRB,Muñeca izq. (lado B),anatomical,global
LFIN,Mano/dedos izq.,anatomical,global
RSHO,Hombro der.,anatomical,global
RUPA,Brazo der. (húmero),anatomical,global
RELB,Codo der.,anatomical,global
RFRM,Antebrazo der.,anatomical,global
RWRA,Muñeca der. (lado A),anatomical,global
RWRB,Muñeca der. (lado B),anatomical,global
RFIN,Mano/dedos der.,anatomical,global
LASI,Pelvis (ASIS izq.),anatomical,global
RASI,Pelvis (ASIS der.),anatomical,global
LPSI,Pelvis (PSIS izq.),anatomical,global
RPSI,Pelvis (PSIS der.),anatomical,global
LTHI,Muslo izq.,anatomical,global
LKNE,Rodilla izq.,anatomical,global
LTIB,Pierna/tibia izq.,anatomical,global
LANK,Tobillo izq.,anatomical,global
LHEE,Talón izq.,anatomical,global
LTOE,Pie/punta izq.,anatomical,global
RTHI,Muslo der.,anatomical,global
RKNE,Rodilla der.,anatomical,global
RTIB,Pierna/tibia der.,anatomical,global
RANK,Tobillo der.,anatomical,global
RHEE,Talón der.,anatomical,global
RTOE,Pie/punta der.,anatomical,global
PELO,Cluster pelvis (4 marcadores de cluster),cluster,global
PELA,Cluster pelvis (4 marcadores de cluster),cluster,global
PELL,Cluster pelvis (4 marcadores de cluster),cluster,global
PELP,Cluster pelvis (4 marcadores de cluster),cluster,global
LFEO,Cluster (LFE*) (4 marcadores de cluster),cluster,global
LFEA,Cluster (LFE*) (4 marcadores de cluster),cluster,global
LFEL,Cluster (LFE*) (4 marcadores de cluster),cluster,global
LFEP,Cluster (LFE*) (4 marcadores de cluster),cluster,global
LTIO,Cluster (LTI*) (4 marcadores de cluster),cluster,global
LTIA,Cluster (LTI*) (4 marcadores de cluster),cluster,global
LTIL,Cluster (LTI*) (4 marcadores de cluster),cluster,global
LTIP,Cluster (LTI*) (4 marcadores de cluster),cluster,global
LFOO,Cluster (LFO*) (4 marcadores de cluster),cluster,global
LFOA,Cluster (LFO*) (4 marcadores de cluster),cluster,global
LFOL,Cluster (LFO*) (4 marcadores de cluster),cluster,global
LFOP,Cluster (LFO*) (4 marcadores de cluster),cluster,global
LTOO,Cluster (LTO*) (4 marcadores de cluster),cluster,global
LTOA,Cluster (LTO*) (4 marcadores de cluster),cluster,global
LTOL,Cluster (LTO*) (4 marcadores de cluster),cluster,global
LTOP,Cluster (LTO*) (4 marcadores de cluster),cluster,global
RFEO,Cluster (RFE*) (4 marcadores de cluster),cluster,global
RFEA,Cluster (RFE*) (4 marcadores de cluster),cluster,global
RFEL,Cluster (RFE*) (4 marcadores de cluster),cluster,global
RFEP,Cluster (RFE*) (4 marcadores de cluster),cluster,global
RTIO,Cluster (RTI*) (4 marcadores de cluster),cluster,global
RTIA,Cluster (RTI*) (4 marcadores de cluster),cluster,global
RTIL,Cluster (RTI*) (4 marcadores de cluster),cluster,global
RTIP,Cluster (RTI*) (4 marcadores de cluster),cluster,global
RFOO,Cluster (RFO*) (4 marcadores de cluster),cluster,global
RFOA,Cluster (RFO*) (4 marcadores de cluster),cluster,global
RFOL,Cluster (RFO*) (4 marcadores de cluster),cluster,global
RFOP,Cluster (RFO*) (4 marcadores de cluster),cluster,global
RTOO,Cluster (RTO*) (4 marcadores de cluster),cluster,global
RTOA,Cluster (RTO*) (4 marcadores de cluster),cluster,global
RTOL,Cluster (RTO*) (4 marcadores de cluster),cluster,global
RTOP,Cluster (RTO*) (4 marcadores de cluster),cluster,global
HEDO,Cluster cabeza (4 marcadores de cluster),cluster,global
