technique,condition,dtw_normalized,euclidean_norm,similarity_dtw,cv_vmax_pct,cv_duration_pct,len_t01,len_t02
S01,E02,4.745,1.479,0.174,0.74,5.57,1821,1629
S01,E04,19.177,1.415,0.05,2.11,14.23,2464,1850
S02,E01,1.759,0.734,0.362,1.26,4.55,1751,1918
S02,E02,2.308,1.57,0.302,0.69,4.6,1597,1751
S02,E04,4.389,0.981,0.186,0.74,2.47,1639,1560
S03,E01,3.375,1.095,0.229,3.55,2.74,1875,1775
S03,E02,2.145,1.492,0.318,0.37,3.15,1768,1883
S03,E04,9.637,1.219,0.094,26.66,0.48,1564,1549
S04,E01,1.727,1.102,0.367,4.47,3.25,1781,1669
S04,E02,1.238,1.175,0.447,1.25,3.56,1891,1761
S04,E04,17.003,1.519,0.056,19.99,11.05,2135,1710
S05,E01,3.092,1.383,0.244,0.16,9.94,2334,1912
